sample	fws
QG0232C	0.992
QG0233C	0.97
QG0234C	0.838
QG0235C	0.593
QG0236C	0.965
QG0237C	0.875
QG0238C	0.722
QG0239C	0.985
QG0240C	0.726
QG0241C	0.906
QG0243C	0.985
QG0244C	0.7
QG0245C	0.983
QG0246C	0.917
QG0247C	0.992
QG0248C	0.621
QG0249C	0.995
QG0250C	0.996
QG0251C	0.372
QG0252C	0.986
QG0253C	0.727
QG0254C	0.792
QG0255C	0.981
QG0256C	0.991
QG0257C	0.99
QG0258C	0.987
QG0259C	0.687
QG0260C	0.786
QG0261C	0.991
QG0262C	0.969
QG0263C	0.907
QG0264C	0.987
QG0265C	0.985
QG0266C	0.33
QG0267C	0.635
QG0268C	0.773
QG0269C	0.994
QG0270C	0.934
QG0271C	0.854
QG0273C	0.873
QG0274C	0.991
QG0275C	0.987
QG0276C	0.963
QG0277C	0.976
QG0278C	0.788
QG0279C	0.674
QG0280C	0.751
QG0281C	0.985
QG0282C	0.976
QG0284C	0.34
QG0285C	0.749
QG0286C	0.984
QG0287C	0.996
QG0288C	0.557
QG0289C	0.597
QG0290C	0.845
QG0291C	0.989
QG0292C	0.989
QG0293C	0.767
QG0294C	0.705
QG0295C	0.992
QG0296C	0.975
QG0297C	0.781
QG0298C	0.914
QG0299C	0.993
QG0300C	0.904
Sample5024006	0.56
Sample5024008	0.606
Sample5024009	0.753
Sample5024011	0.518
Sample5024012	0.807
Sample5024019	0.957
Sample5024027	0.823
Sample5024029	0.912
Sample5024045	0.823
Sample5024047	0.929
Sample5024051	0.371
Sample5024052	0.751
Sample5024053	0.603
Sample5024054	0.472
Sample5024055	0.389
Sample5024056	0.621
Sample5024069	0.512
Sample5024082	0.846
Sample5024083	0.57
Sample5024085	0.947
Sample5024086	0.34
Sample5024096	0.481
Sample5024113	0.779
Sample5024165	0.95
Sample5024171	0.402
Sample5024173	0.563
Sample5024179	0.981
Sample5024183	0.763
Sample5024226	0.822
Sample5024240	0.807
Sample5024244	0.993
Sample5024252	0.52
Sample5024262	0.925
Sample5024264	0.283
Sample5024275	0.898
Sample5024310	0.995
Sample5024360	0.988
Sample5024364	0.527
Sample5024376	0.498
Sample5024414	0.604
Sample5024416	0.6
Sample5024418	0.909
Sample5024424	0.823
Sample5024442	0.606
Sample5024461	0.993
Sample5024463	0.652
Sample5024465	0.982
Sample5024467	0.917
Sample5024469	0.871
Sample5024472	0.861
Sample5024473	0.62
Sample5024475	0.414
Sample5024476	0.716
Sample5024481	0.882
Sample5024485	0.587
Sample5024486	0.828
Sample5024495	0.659
Sample5024498	0.766
Sample5024500	0.874
Sample5024504	0.98
Sample5024512	0.733
Sample5024513	0.992
Sample5024515	0.987
Sample5024525	0.739
Sample5024531	0.848
Sample5024535	0.39
Sample5024536	0.627
Sample5024547	0.873
Sample5024549	0.455
Sample5024591	0.605
Sample5024608	0.666
Sample5024610	0.94
Sample5024673	0.395
Sample5024680	0.996
Sample5024681	0.835
Sample5024686	0.988
Sample5024697	0.797
Sample5024701	0.903
Sample5024702	0.995
Sample5024704	0.523
Sample5024706	0.6
Sample5024711	0.729
Sample5024712	0.756
Sample5024719	0.561
Sample5024771	0.924
Sample5024818	0.34
Sample5024819	0.639
